00920 02161   2  1 J 1 1998-05-12 21:16:31  33.459  248.319  0.000 401649789    
      1998-05-12 21:18:46  6         00                                         
00920 02161   2  1 J 2 1998-05-12 22:59:01  33.455  248.310  0.000 401649789    
      1998-05-12 23:02:24  6         00                                         
00920 02161   4  1 D 1 1998-05-13 01:15:42  33.451  248.276  0.000 401649789    
      1998-05-13 01:13:49  1         00                                         
      1998-05-13 01:14:34  1       8192                                         
      1998-05-13 01:17:34  2         00                                         
00920 02161   2  1 D                                                            
      1998-05-13 02:58:57  1         00                                         
00920 02161   2  1 H 2 1998-05-13 04:15:10  33.451  248.314  0.000 401649789    
      1998-05-13 04:17:03  6         00                                         
00920 02162   2  1 J                                                            
      1998-05-04 21:12:11  3         00                                         
00920 02162   3  1 J                                                            
      1998-05-04 22:46:38  1    1048576                                         
      1998-05-04 22:47:24  1         00                                         
00920 02162   3  1 D                                                            
      1998-05-05 00:54:54  2         00                                         
      1998-05-05 00:57:58  4         00                                         
00920 02162   2  1 D A 1998-05-05 02:34:21  33.461  248.310  0.000 401649848    
      1998-05-05 02:36:16  3         00                                         
00920 02162   2  1 H 3 1998-05-05 02:34:44  33.460  248.314  0.000 401649829    
      1998-05-05 02:37:48  4         00                                         
00920 02162   3  1 H 2 1998-05-05 04:16:07  33.456  248.310  0.000 401649829    
      1998-05-05 04:17:39  6         00                                         
      1998-05-05 04:19:57  1       4128                                         
00920 02162   6  1 J 2 1998-05-05 09:34:04  33.453  248.320  0.000 401649839    
      1998-05-05 09:28:41  1         00                                         
      1998-05-05 09:32:31  1         09                                         
      1998-05-05 09:33:18  1         00                                         
      1998-05-05 09:34:50  2         00                                         
      1998-05-05 09:39:26  5         00                                         
00920 02162   3  1 J A 1998-05-05 11:15:26  33.456  248.309  0.000 401649839    
      1998-05-05 11:15:26  2         00                                         
      1998-05-05 11:16:58  3         00                                         
00920 02162   3  1 D 3 1998-05-05 13:14:28  33.455  248.312  0.000 401649839    
      1998-05-05 13:09:52  1         00                                         
      1998-05-05 13:19:05  8         00                                         
00920 02162   2  1 D 1 1998-05-05 14:54:19  33.378  248.274  0.000 401649839    
      1998-05-05 14:56:37  6         00                                         
00920 02162   2  1 H                                                            
      1998-05-05 15:00:27  3         00                                         
00920 02162   2  1 H                                                            
      1998-05-05 16:46:26  1         00                                         
00920 02162   2  1 J                                                            
      1998-05-05 20:52:12  1         00                                         
00920 02162   4  1 H                                                            
      1998-05-10 17:16:23  1         08                                         
      1998-05-10 17:17:09  1  536870912                                         
      1998-05-10 17:17:55  1         00                                         
00920 02162   2  1 J                                                            
      1998-05-10 20:02:16  1         02                                         
00920 02162   3  1 J                                                            
      1998-05-10 21:34:26  1 1073741824                                         
      1998-05-10 21:42:53  8         00                                         
00920 02162   2  1 J                                                            
      1998-05-10 23:21:11  1         00                                         
00920 02162   2  1 D                                                            
      1998-05-11 00:20:19  3         00                                         
00920 02162   2  1 D 3 1998-05-11 02:01:42  33.456  248.309  0.000 401649861    
      1998-05-11 02:04:46  7         00                                         
00920 02162   5  1 H 3 1998-05-11 03:00:27  33.456  248.312  0.000 401649860    
      1998-05-11 02:59:18  4         00                                         
      1998-05-11 03:00:04  1   33554432                                         
      1998-05-11 03:01:36  2         00                                         
      1998-05-11 03:03:54  4         00                                         
00920 02162   2  1 H 1 1998-05-11 04:41:49  33.463  248.309  0.000 401649860    
      1998-05-11 04:43:44  4         00                                         
00920 02162   3  1 J 3 1998-05-11 10:05:32  33.452  248.315  0.000 401649881    
      1998-05-11 10:01:41  1         01                                         
      1998-05-11 10:12:26  7         00                                         
00920 02162   2  1 J 2 1998-05-11 11:49:59  33.453  248.310  0.000 401649881    
      1998-05-11 11:53:03  6         00                                         
00920 02162   2  1 D B 1998-05-11 12:45:39  33.458  248.280  0.000 401649881    
      1998-05-11 12:46:02  2         00                                         
00920 02162   2  1 D 2 1998-05-11 14:22:25  33.456  248.308  0.000 401649889    
      1998-05-11 14:25:53  6         00                                         
00920 02162   3  1 H A 1998-05-11 15:28:05  33.455  248.315  0.000 401649885    
      1998-05-11 15:25:47  1         00                                         
      1998-05-11 15:30:23  2         00                                         
00920 02162   2  1 H 3 1998-05-11 17:07:33  33.453  248.307  0.000 401649885    
      1998-05-11 17:11:00  8         00                                         
00920 02162   3  1 J 2 1998-05-11 21:30:12  33.457  248.318  0.000 401649874    
      1998-05-11 21:27:30  3         00                                         
      1998-05-11 21:34:25  8         00                                         
00920 02162   3  1 J A 1998-05-11 23:12:20  33.429  248.298  0.000 401649874    
      1998-05-11 23:11:11  2         00                                         
      1998-05-11 23:14:16  3         00                                         
00920 02162   2  1 D A 1998-05-12 00:00:20  33.448  248.319  0.000 401649860    
      1998-05-12 00:01:06  3         00                                         
00920 02162   3  1 D 3 1998-05-12 01:39:02  33.454  248.307  0.000 401649860    
      1998-05-12 01:36:20  1         02                                         
      1998-05-12 01:41:43  6         00                                         
00920 02162   4  1 H 2 1998-05-12 02:47:23  33.460  248.315  0.000 401649858    
      1998-05-12 02:43:55  2         00                                         
