00920 02161   2  1 H 0 1998-04-30 17:45:56  33.314  248.273  0.000 401649825    
      1998-04-30 17:48:12  7         00                                         
00920 02162   3  1 D 0 1998-04-29 23:26:47  33.517  248.228  0.000 401649887    
      1998-04-29 23:27:56  4         00                                         
      1998-04-29 23:29:28  1  176247850                                         
00920 02162   2  1 J A 1998-04-29 23:44:04  33.396  248.195  0.000 401649492    
      1998-04-29 23:44:50  3         00                                         
00920 02162   2  1 D 0 1998-04-30 01:07:46  33.405  248.302  0.000 401649492    
      1998-04-30 01:10:50 16         00                                         
00920 02162   2  1 H 0 1998-04-30 02:00:23  33.380  248.229  0.000 401649887    
      1998-04-30 02:03:04  7         00                                         
00920 02162   2  1 D 1 1998-04-30 02:44:09  33.366  248.189  0.000 401649912    
      1998-04-30 02:46:50  7         00                                         
00920 02162   3  1 H 1 1998-04-30 03:37:32  33.382  248.168  0.000 401649912    
      1998-04-30 03:42:08 12         00                                         
      1998-04-30 03:44:26  1    4210688                                         
00920 02162   2  1 H 0 1998-04-30 05:19:17  33.411  248.183  0.000 401649912    
      1998-04-30 05:21:13  4         00                                         
00920 02162   5  1 J 2 1998-04-30 08:47:02  33.379  248.204  0.000 401649809    
      1998-04-30 08:43:58  1       8208                                         
      1998-04-30 08:46:16  2         00                                         
      1998-04-30 08:48:34  1  536870912                                         
      1998-04-30 08:50:06  1         00                                         
00920 02162   4  1 J 0 1998-04-30 10:28:24  33.368  248.265  0.000 401649809    
      1998-04-30 10:24:34  4         00                                         
      1998-04-30 10:33:47 12         00                                         
      1998-04-30 10:35:19  1         01                                         
00920 02162   5  1 J 2 1998-04-30 12:08:15  33.379  248.196  0.000 401649795    
      1998-04-30 12:03:38  1         00                                         
      1998-04-30 12:04:24  1       8192                                         
      1998-04-30 12:05:57  1         00                                         
      1998-04-30 12:12:52  6         00                                         
00920 02162   3  1 D 1 1998-04-30 13:23:08  33.371  248.178  0.000 401649851    
      1998-04-30 13:19:40  1         00                                         
      1998-04-30 13:29:39 14         00                                         
00920 02162   4  1 H B 1998-04-30 14:19:57  33.295  248.406  0.000 401649795    
      1998-04-30 14:20:21  2         00                                         
      1998-04-30 14:21:07  1      16384                                         
      1998-04-30 14:23:25  2         00                                         
00920 02162   3  1 D 0 1998-04-30 15:04:30  33.414  248.098  0.000 401649692    
      1998-04-30 15:01:03  3         00                                         
      1998-04-30 15:10:16 13         00                                         
00920 02162   4  1 H 0 1998-04-30 16:00:57  33.425  248.152  0.000 401649451    
      1998-04-30 16:00:11  3         00                                         
      1998-04-30 16:05:33  5         00                                         
      1998-04-30 16:09:24  4         00                                         
00920 02162   2  1 H 1 1998-04-30 17:41:34  33.364  248.267  0.000 401649300    
      1998-04-30 17:48:28 12         00                                         
00920 09373   2 32 D                                                            
      1998-04-24 15:46:25  1        162          234           42          170  
