      1998-03-03 23:44:55  1         19           15           20           03  
      1998-03-03 23:45:39  1         02          168          233           28  
      1998-03-03 23:49:49  1         00           04           00          193  
      1998-03-03 23:52:22  1         00           00           00           76  
00920 06072   2 32 J 2 1998-03-04 02:51:48 -53.718  321.582  0.000 401648969    
      1998-03-04 02:57:00  5         00           00           00           00  
00920 06072   2 32 J                                                            
      1998-03-04 04:28:33  3         00           00           00           00  
00920 06072   5 32 D                                                            
      1998-03-04 07:54:33  1         00           00           16           03  
      1998-03-04 07:57:09  2         00           00           00           00  
      1998-03-04 07:59:15  1         00           01          154           09  
      1998-03-04 08:01:05  1         00           00           00           00  
00920 06072   3 32 D B 1998-03-04 09:38:32 -53.735  321.750  0.000 401648969    
      1998-03-04 09:36:16  1         08           01           40          133  
      1998-03-04 09:40:48  1         00           00           00           00  
00920 06072   4 32 J A 1998-03-04 16:47:39 -53.837  321.687  0.000 401648955    
      1998-03-04 16:45:00  1        134           04           89           53  
      1998-03-04 16:47:12  1         00           16          235           77  
      1998-03-04 16:50:19  1         00           00           00           00  
00920 06072   2 32 J                                                            
      1998-03-04 20:12:21  1         00           00           02           32  
00920 06072   3 32 D 0 1998-03-04 21:47:59 -53.811  321.688  0.000 401648951    
      1998-03-04 21:42:19  1         00           00           23           68  
      1998-03-04 21:53:39  3         00           00           00           00  
00920 06072   3 32 J B 1998-03-05 02:40:30 -53.714  321.592  0.000 401648969    
      1998-03-05 02:37:27  1         00           00           00           00  
      1998-03-05 02:43:33  1         00           00           00           68  
00920 06072   3 32 J 0 1998-03-05 04:20:17 -53.662  321.635  0.000 401648969    
      1998-03-05 04:22:25  3         00           00           00           00  
      1998-03-05 04:23:15  1         00           12          130           04  
00920 06072   2 32 D B 1998-03-05 05:58:02 -53.676  321.657  0.000 401648951    
      1998-03-05 05:58:25  2         00           00           00           00  
00920 06072   6 32 J 0 1998-03-05 06:02:34 -53.603  321.612  0.000 401648969    
      1998-03-05 06:03:28  4         00           00           00           00  
      1998-03-05 06:04:13  1         00           00           00           02  
      1998-03-05 06:05:10  1         00           00           00           00  
      1998-03-05 06:06:41  1         00          129           08           19  
      1998-03-05 06:07:27  1         00           00           00           00  
00920 06072   4 32 D 0 1998-03-05 07:36:47 -53.630  321.610  0.000 401648969    
      1998-03-05 07:39:51  4         00           00           00           00  
